llave_sintetica,k
B_24_1_85 y más,4
B_24_1_Menor de 1,26
B_24_2_1-4,27
B_24_2_10-14,12
B_24_2_15-19,7
B_24_2_20-24,12
B_24_2_25-29,17
B_24_2_30-34,12
B_24_2_35-39,11
B_24_2_40-44,15
B_24_2_45-49,2
B_24_2_5-9,17
B_24_2_50-54,7
B_24_2_55-59,7
B_24_2_60-64,6
B_24_2_65-69,5
B_24_2_70-74,4
B_24_2_75-79,2
B_24_2_80-84,5
B_24_2_85 y más,3
B_24_2_Menor de 1,22
B_88_1_10-14,2
B_88_1_15-19,1
B_88_1_20-24,7
B_88_1_35-39,1
B_88_1_40-44,1
B_88_1_60-64,1
B_88_1_85 y más,1
B_88_2_1-4,2
B_88_2_25-29,1
B_88_2_35-39,1
B_88_2_40-44,1
B_88_2_50-54,1
B_88_2_55-59,1
B_88_2_60-64,1
C_01_1_Menor de 1,30
C_01_2_Menor de 1,9
C_02_1_1-4,19
C_02_1_10-14,32
C_02_1_15-19,21
C_02_1_20-24,24
C_02_1_25-29,13
C_02_1_30-34,16
C_02_1_35-39,26
C_02_1_45-49,32
C_02_1_5-9,28
C_02_1_50-54,20
C_02_1_60-64,42
C_02_2_1-4,27
C_02_2_10-14,26
C_02_2_15-19,10
C_02_2_20-24,15
C_02_2_25-29,28
C_02_2_30-34,38
C_02_2_5-9,12
C_02_2_85 y más,27
C_02_2_Menor de 1,5
C_03_1_20-24,36
C_03_1_30-34,41
C_03_1_35-39,48
C_03_1_Menor de 1,6
C_03_2_1-4,21
C_03_2_20-24,45
C_03_2_5-9,43
C_03_2_Menor de 1,1
C_04_1_1-4,19
C_04_1_10-14,15
C_04_1_15-19,27
C_04_1_20-24,25
C_04_1_25-29,18
C_04_1_30-34,31
C_04_1_35-39,16
C_04_1_40-44,22
C_04_1_45-49,41
C_04_1_5-9,21
C_04_1_80-84,46
C_04_1_85 y más,32
C_04_1_Menor de 1,1
C_04_2_1-4,23
C_04_2_10-14,12
C_04_2_15-19,26
C_04_2_20-24,17
